零件名,工序,资源,开始(min),结束(min),时长(min)
AP2-FB-3S-7BS,分拣,自动分拣N21,151.58006951435374,153.16006951435375,1.5800000000000125
AP2-FB-3S-7BS,自动打磨,自动打磨N21,153.16006951435375,154.48168241117915,1.3216128968253997
AP2-FB-3S-7BS,桁架码垛,自动分拣N21,154.48168241117915,155.65168241117914,1.1699999999999875
AP2-FC-1B1P-1P,分拣,自动分拣N21,155.65168241117914,157.23168241117915,1.5800000000000125
AP2-FC-1B1P-1P,自动打磨,自动打磨N21,157.23168241117915,158.54608538736963,1.314402976190479
AP2-FC-1B1P-1P,桁架码垛,自动分拣N21,158.54608538736963,159.71608538736962,1.1699999999999875
AP2-FC-1B2S-1S,分拣,自动分拣N21,159.71608538736962,161.29608538736963,1.5800000000000125
AP2-FC-1B2S-1S,自动打磨,自动打磨N21,161.29608538736963,162.50112149848073,1.2050361111110988
AP2-FC-1B2S-1S,桁架码垛,自动分拣N21,162.50112149848073,163.67112149848072,1.1699999999999875
AP2-G1-1B1P-1P,分拣,自动分拣N21,163.67112149848072,165.25112149848073,1.5800000000000125
AP2-G1-1B1P-1P,自动打磨,自动打磨N21,165.25112149848073,166.45615760959183,1.2050361111110988
AP2-G1-1B1P-1P,桁架码垛,自动分拣N21,166.45615760959183,167.62615760959181,1.1699999999999875
AP2-G1-1B2S-1S,分拣,自动分拣N21,167.62615760959181,169.20615760959183,1.5800000000000125
AP2-G1-1B2S-1S,自动打磨,自动打磨N21,169.20615760959183,170.41119372070293,1.2050361111110988
AP2-G1-1B2S-1S,桁架码垛,自动分拣N21,170.41119372070293,171.5811937207029,1.1699999999999875
AP2-G1-2B1P-1P,分拣,自动分拣N21,171.5811937207029,173.16119372070293,1.5800000000000125
AP2-G1-2B1P-1P,自动打磨,自动打磨N21,173.16119372070293,174.36622983181402,1.2050361111110988
AP2-G1-2B1P-1P,桁架码垛,自动分拣N21,174.36622983181402,175.536229831814,1.1699999999999875
AP2-G1-2B2S-1S,分拣,自动分拣N21,175.536229831814,177.11622983181402,1.5800000000000125
AP2-G1-2B2S-1S,自动打磨,自动打磨N21,177.11622983181402,178.32126594292512,1.2050361111110988
AP2-G1-2B2S-1S,桁架码垛,自动分拣N21,178.32126594292512,179.4912659429251,1.1699999999999875
AP2-G3-1B1-1P,分拣,自动分拣N21,179.4912659429251,181.07126594292512,1.5800000000000125
AP2-G3-1B1-1P,自动打磨,自动打磨N21,181.07126594292512,182.27630205403622,1.2050361111110988
AP2-G3-1B1-1P,桁架码垛,自动分拣N21,182.27630205403622,183.4463020540362,1.1699999999999875
AP2-G3-1B1-1S,分拣,自动分拣N21,183.4463020540362,185.02630205403622,1.5800000000000125
AP2-G3-1B1-1S,自动打磨,自动打磨N21,185.02630205403622,186.23133816514732,1.2050361111110988
AP2-G3-1B1-1S,桁架码垛,自动分拣N21,186.23133816514732,187.4013381651473,1.1699999999999875
AP2-G3-2B1-1P,分拣,自动分拣N21,187.4013381651473,188.98133816514732,1.5800000000000125
AP2-G3-2B1-1P,自动打磨,自动打磨N21,188.98133816514732,190.18637427625842,1.2050361111110988
AP2-G3-2B1-1P,桁架码垛,自动分拣N21,190.18637427625842,191.3563742762584,1.1699999999999875
AP2-G3-2B1-1S,分拣,自动分拣N21,191.3563742762584,192.93637427625842,1.5800000000000125
AP2-G3-2B1-1S,自动打磨,自动打磨N21,192.93637427625842,194.14141038736952,1.2050361111110988
AP2-G3-2B1-1S,桁架码垛,自动分拣N21,194.14141038736952,195.3114103873695,1.1699999999999875
AP2-G4-1B1-1P,分拣,自动分拣N21,195.3114103873695,196.89141038736952,1.5800000000000125
AP2-G4-1B1-1P,自动打磨,自动打磨N21,196.89141038736952,198.09644649848062,1.2050361111110988
AP2-G4-1B1-1P,桁架码垛,自动分拣N21,198.09644649848062,199.2664464984806,1.1699999999999875
AP2-G4-1B1-1S,分拣,自动分拣N21,199.2664464984806,200.84644649848062,1.5800000000000125
AP2-G4-1B1-1S,自动打磨,自动打磨N21,200.84644649848062,202.05148260959172,1.2050361111110988
AP2-G4-1B1-1S,桁架码垛,自动分拣N21,202.05148260959172,203.2214826095917,1.1699999999999875
AP2-G4-2B1-1P,分拣,自动分拣N21,203.2214826095917,204.80148260959172,1.5800000000000125
AP2-G4-2B1-1P,自动打磨,自动打磨N21,204.80148260959172,206.00651872070281,1.2050361111110988
AP2-G4-2B1-1P,桁架码垛,自动分拣N21,206.00651872070281,207.1765187207028,1.1699999999999875
AP2-G4-2B1-1S,分拣,自动分拣N21,207.1765187207028,208.75651872070281,1.5800000000000125
AP2-G4-2B1-1S,自动打磨,自动打磨N21,208.75651872070281,209.9615548318139,1.2050361111110988
AP2-G4-2B1-1S,桁架码垛,自动分拣N21,209.9615548318139,211.1315548318139,1.1699999999999875
AP2-G5-1B1-1P,分拣,自动分拣N21,211.1315548318139,212.7115548318139,1.5800000000000125
AP2-G5-1B1-1P,自动打磨,自动打磨N21,212.7115548318139,213.916590942925,1.2050361111110988
AP2-G5-1B1-1P,桁架码垛,自动分拣N21,213.916590942925,215.086590942925,1.1699999999999875
AP2-G5-1B1-1S,分拣,自动分拣N21,215.086590942925,216.666590942925,1.5800000000000125
AP2-G5-1B1-1S,自动打磨,自动打磨N21,216.666590942925,217.8716270540361,1.2050361111110988
AP2-G5-1B1-1S,桁架码垛,自动分拣N21,217.8716270540361,219.0416270540361,1.1699999999999875
AP2-G5-2B1-1P,分拣,自动分拣N21,219.0416270540361,220.6216270540361,1.5800000000000125
AP2-G5-2B1-1P,自动打磨,自动打磨N21,220.6216270540361,221.8266631651472,1.2050361111110988
AP2-G5-2B1-1P,桁架码垛,自动分拣N21,221.8266631651472,222.9966631651472,1.1699999999999875
AP2-G5-2B1-1S,分拣,自动分拣N21,222.9966631651472,224.5766631651472,1.5800000000000125
AP2-G5-2B1-1S,自动打磨,自动打磨N21,224.5766631651472,225.7816992762583,1.2050361111110988
AP2-G5-2B1-1S,桁架码垛,自动分拣N21,225.7816992762583,226.9516992762583,1.1699999999999875
AP2-SGF-1SP-4BSP,分拣,自动分拣N21,226.9516992762583,227.9516992762583,1.0
A03S-1299,天车空驶（胎架到原料区）,天车,109.13932502125148,112.13932502125148,3.0
A03S-1299,天车吊运（原料区到胎架）,天车,112.13932502125148,115.13932502125148,3.0
AP2-G2-1B2-1S,分拣,自动分拣N51,160.84570618892363,162.42570618892364,1.5800000000000125
AP2-G2-1B2-1S,自动打磨,自动打磨N51,162.42570618892364,163.799705554003,1.3739993650793565
AP2-G2-1B2-1S,桁架码垛,自动分拣N51,163.799705554003,164.96970555400299,1.1699999999999875
AP2-G3-4B3-1S,分拣,自动分拣N51,164.96970555400299,166.549705554003,1.5800000000000125
AP2-G3-4B3-1S,自动打磨,自动打磨N51,166.549705554003,169.68840103019346,3.1386954761904633
AP2-G3-4B3-1S,桁架码垛,自动分拣N51,169.68840103019346,170.85840103019345,1.1699999999999875
AP2-G4-4B3-1P,分拣,自动分拣N51,170.85840103019345,172.43840103019346,1.5800000000000125
AP2-G4-4B3-1P,自动打磨,自动打磨N51,172.43840103019346,175.45759269686013,3.0191916666666714
AP2-G4-4B3-1P,桁架码垛,自动分拣N51,175.45759269686013,176.62759269686012,1.1699999999999875
AP2-G4-4B3-1S,分拣,自动分拣N51,176.62759269686012,178.20759269686013,1.5800000000000125
AP2-G4-4B3-1S,自动打磨,自动打磨N51,178.20759269686013,179.5815920619395,1.3739993650793565
AP2-G4-4B3-1S,桁架码垛,自动分拣N51,179.5815920619395,180.75159206193948,1.1699999999999875
AP2-G5-4B3-1P,分拣,自动分拣N51,180.75159206193948,182.3315920619395,1.5800000000000125
AP2-G5-4B3-1P,自动打磨,自动打磨N51,182.3315920619395,185.3712273793998,3.0396353174603234
AP2-G5-4B3-1P,桁架码垛,自动分拣N51,185.3712273793998,186.5412273793998,1.1699999999999875
