套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
T63S-4855,STA238FC,N5,61,1815.7933467134458,1821.2660449711568,5.472698257711045,1809.7933467134458,1812.7933467134458,1815.7933467134458,1815.7933467134458,1815.7933467134458,1815.7933467134458,16.485431984127217,1837.751476955284,0,3
T63S-4084,STA238FC,N5,62,1821.2660449711568,1840.371779692852,19.10573472169517,1842.7731012602162,1845.7731012602162,1848.7731012602162,1848.7731012602162,1821.2660449711568,1821.2660449711568,7.880429603174662,1848.2522092960266,1,3
T63S-4090,STA238FC,N2,63,1823.522457697834,1842.2560201500114,18.733562452177466,1848.7731012602162,1851.7731012602162,1854.7731012602162,1854.7731012602162,1823.522457697834,1823.522457697834,17.5170811102048,1859.7731012602162,0,3
T63S-4087,STA238FC,N5,64,1840.371779692852,1864.1178025192762,23.746022826424223,1859.7731012602162,1867.7731012602162,1870.7731012602162,1870.7731012602162,1840.371779692852,1840.371779692852,11.655298740939998,1875.7731012602162,0,3
T63S-4086,STA238FC,N2,65,1842.2560201500114,1876.184223557629,33.9282034076175,1875.7731012602162,1883.7731012602162,1886.7731012602162,1886.7731012602162,1842.2560201500114,1842.2560201500114,15.588877702587297,1891.7731012602162,1,3
E01S-1211,BN1,N5,66,1864.1178025192762,1887.7047128216739,23.586910302397655,1891.7731012602162,1899.7731012602162,1902.7731012602162,1902.7731012602162,1864.1178025192762,1864.1178025192762,18.068388438542343,1905.7731012602162,1,1
E01S-1223,BN1,N2,67,1876.184223557629,1909.9149109377925,33.730687380163545,1905.7731012602162,1913.7731012602162,1916.7731012602162,1916.7731012602162,1876.184223557629,1876.184223557629,17.905878809523756,1927.8207897473162,0,1
E01S-1209,BN1,N5,68,1887.7047128216739,1933.2171909487301,45.51247812705628,1916.7731012602162,1919.7731012602162,1922.7731012602162,1922.7731012602162,1887.7047128216739,1887.7047128216739,18.169340555555664,1951.3865315042858,0,1
E01S-1246,BN1,N2,69,1909.9149109377925,1962.3498660061152,52.43495506832278,1922.7731012602162,1925.7731012602162,1928.7731012602162,1928.7731012602162,1909.9149109377925,1909.9149109377925,95.96145928571354,2058.311325291829,1,1
E01S-1244,BN1,N5,70,1933.2171909487301,1986.5936997485603,53.37650879983016,1928.7731012602162,1931.7731012602162,1934.7731012602162,1934.7731012602162,1933.2171909487301,1933.2171909487301,96.13529626984132,2082.7289960184016,1,1
E01S-1229,BN1,N2,71,1962.3498660061152,2034.657290273223,72.30742426710776,1956.3498660061152,1959.3498660061152,1962.3498660061152,1962.3498660061152,1962.3498660061152,1962.3498660061152,85.27397105035175,2119.9312613235747,0,1
