套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
A03S-1290,AP2,N2,22,630.288726937902,731.1971308069666,100.90840386906466,442.00673571957896,445.00673571957896,448.00673571957896,448.00673571957896,448.00673571957896,630.288726937902,6.81694333333337,738.0140741403,1,2
A03S-1284,AP2,N2,23,749.0140741403,842.0013537987802,92.98727965848019,738.0140741403,746.0140741403,749.0140741403,749.0140741403,749.0140741403,749.0140741403,3.7374680000000353,845.7388217987802,1,2
A03S-1291,AP2,N5,24,927.4420958370243,1028.4149316931678,100.97283585614345,877.2018188974099,885.2018188974099,888.2018188974099,888.2018188974099,888.2018188974099,927.4420958370243,8.240734256410178,1036.655665949578,1,2
A03S-1289,AP2,N2,25,842.0013537987802,938.8832437526552,96.88188995387495,769.6626513823464,772.6626513823464,775.6626513823464,775.6626513823464,775.6626513823464,842.0013537987802,6.681881076923219,945.5651248295784,0,2
A03S-1302,AP2,N2,26,938.8832437526552,1074.6281819535368,135.7449382008817,845.7388217987802,853.7388217987802,856.7388217987802,856.7388217987802,856.7388217987802,938.8832437526552,10.58101989743568,1085.2092018509725,1,2
E01S-1208,BN1,N2,27,1074.6281819535368,1290.8021616544952,216.17397970095834,945.5651248295784,953.5651248295784,956.5651248295784,956.5651248295784,956.5651248295784,1074.6281819535368,85.567601349205,1376.3697630037002,0,1
E01S-1205,BN1,N2,28,1290.8021616544952,1454.6190276530474,163.81686599855212,1085.2092018509725,1093.2092018509725,1096.2092018509725,1096.2092018509725,1096.2092018509725,1290.8021616544952,4.047880615384656,1458.666908268432,1,1
E01S-1240,BN1,N5,29,1028.4149316931678,1148.8910476580938,120.47611596492608,931.3499590165115,934.3499590165115,937.3499590165115,937.3499590165115,937.3499590165115,1028.4149316931678,59.45893571428587,1208.3499833723797,0,1
E01S-1206,BN1,N2,30,1454.6190276530474,1561.6170716439149,106.99804399086752,1365.3697630037002,1373.3697630037002,1376.3697630037002,1376.3697630037002,1376.3697630037002,1454.6190276530474,4.033693025641014,1565.6507646695559,0,1
E01S-1229,BN1,N2,31,1561.6170716439149,1633.9244959110226,72.30742426710773,1458.666908268432,1461.666908268432,1464.666908268432,1464.666908268432,1464.666908268432,1561.6170716439149,61.61993603174619,1695.5444319427688,1,1
E01S-1204,BN1,N5,32,1148.8910476580938,1227.6914558826604,78.80040822456658,1036.655665949578,1044.655665949578,1047.655665949578,1047.655665949578,1047.655665949578,1148.8910476580938,3.5307946666666794,1231.222250549327,1,1
E01S-1226,BN1,N5,33,1227.6914558826604,1325.5091471555427,97.8176912728822,1197.3499833723797,1205.3499833723797,1208.3499833723797,1208.3499833723797,1208.3499833723797,1227.6914558826604,44.347327222222475,1369.8564743777652,0,1
E01S-1203,BN1,N2,34,1633.9244959110226,1733.5907683079035,99.66627239688083,1565.6507646695559,1573.6507646695559,1576.6507646695559,1576.6507646695559,1576.6507646695559,1633.9244959110226,100.00644777777757,1833.597216085681,0,1
E01S-1244,BN1,N5,35,1325.5091471555427,1378.8856559553728,53.37650879983006,1231.222250549327,1234.222250549327,1237.222250549327,1237.222250549327,1237.222250549327,1325.5091471555427,96.13529626984109,1475.020952225214,1,1
