套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
U02B-1334,DC12,N5,51,1681.9910658460465,1710.8453297418503,28.854263895803697,1655.8140291076634,1663.8140291076634,1666.8140291076634,1666.8140291076634,1666.8140291076634,1681.9910658460465,5.0,1715.8453297418503,1,4
U02S-1335,DC12,N2,52,1610.7669937030307,1670.5471748050243,59.78018110199349,1579.3179094356053,1582.3179094356053,1585.3179094356053,1585.3179094356053,1585.3179094356053,1610.7669937030307,36.905982698412345,1707.4531575034366,1,2
U02S-1336,DC12,N5,53,1710.8453297418503,1756.031145229742,45.18581548789174,1693.6609749742515,1701.6609749742515,1704.6609749742515,1704.6609749742515,1704.6609749742515,1710.8453297418503,39.55064507936527,1795.5817903091072,0,3
U02S-1337,DC12,N5,54,1756.031145229742,1799.1970503741886,43.16590514444671,1715.8453297418503,1718.8453297418503,1721.8453297418503,1721.8453297418503,1721.8453297418503,1756.031145229742,4.303834666666717,1803.5008850408553,1,4
U02S-1338,DC12,N2,55,1670.5471748050243,1713.222967449471,42.675792644446716,1620.4296769270068,1623.4296769270068,1626.4296769270068,1626.4296769270068,1626.4296769270068,1670.5471748050243,16.622362292379194,1729.8453297418503,0,1
U02S-1339,DC12,N5,56,1799.1970503741886,1833.5618977523702,34.36484737818157,1784.5817903091072,1792.5817903091072,1795.5817903091072,1795.5817903091072,1795.5817903091072,1799.1970503741886,4.933287435897228,1838.4951851882674,0,3
U02S-1340,DC12,N2,57,1713.222967449471,1814.9674664587171,101.74449900924601,1704.6609749742515,1707.6609749742515,1710.6609749742515,1710.6609749742515,1710.6609749742515,1713.222967449471,57.66663920634937,1872.6341056650665,1,2
U02S-1341,DC12,N5,58,1833.5618977523702,1871.392489208336,37.83059145596571,1803.5008850408553,1811.5008850408553,1814.5008850408553,1814.5008850408553,1814.5008850408553,1833.5618977523702,49.425265634920834,1920.8177548432568,1,2
U02S-1342,DC12,N5,59,1871.392489208336,1932.0489834319017,60.656494223565666,1849.7674450408554,1857.7674450408554,1860.7674450408554,1860.7674450408554,1860.7674450408554,1871.392489208336,5.0,1937.0489834319017,0,3
U02S-1343,DC12,N2,60,1814.9674664587171,1996.7019478823481,181.73448142363094,1729.8453297418503,1732.8453297418503,1735.8453297418503,1735.8453297418503,1735.8453297418503,1814.9674664587171,141.3861490476188,2138.088096929967,0,1
U02S-1344,DC12,N5,61,1932.0489834319017,1999.1499844413104,67.10100100940873,1909.8177548432568,1917.8177548432568,1920.8177548432568,1920.8177548432568,1920.8177548432568,1932.0489834319017,59.93237936507944,2059.08236380639,1,1
U02S-1345,DC12,N5,62,1999.1499844413104,2017.1642462610173,18.014261819706824,1937.0489834319017,1945.0489834319017,1948.0489834319017,1948.0489834319017,1948.0489834319017,1999.1499844413104,93.03248111680045,2110.1967273778178,0,2
U02S-1346,DC12,N5,63,2059.08236380639,2070.351190873979,11.268827067588841,2048.08236380639,2056.08236380639,2059.08236380639,2059.08236380639,2059.08236380639,2059.08236380639,87.31372499590316,2157.664915869882,1,2
U02S-1347,DC12,N5,64,2110.1967273778178,2123.948653514577,13.75192613675911,2104.1967273778178,2107.1967273778178,2110.1967273778178,2110.1967273778178,2110.1967273778178,2110.1967273778178,71.70157961720861,2195.6502331317856,0,1
U02S-1348,DC12,N5,65,2157.664915869882,2177.692367791742,20.02745192186,2151.664915869882,2154.664915869882,2157.664915869882,2157.664915869882,2157.664915869882,2157.664915869882,47.21777486385372,2224.910142655596,1,1
E01S-1200,BN1,N5,66,2195.6502331317856,2239.2375362067355,43.587303074949816,2189.6502331317856,2192.6502331317856,2195.6502331317856,2195.6502331317856,2195.6502331317856,2195.6502331317856,12.889475238095201,2252.1270114448307,0,2
E01S-1203,BN1,N2,67,1996.7019478823481,2096.368220279229,99.66627239688083,1887.1245570408553,1890.1245570408553,1893.1245570408553,1893.1245570408553,1893.1245570408553,1996.7019478823481,141.726324428515,2238.094544707744,1,1
E01S-1204,BN1,N5,68,2239.2375362067355,2318.037944431302,78.80040822456658,2213.910142655596,2221.910142655596,2224.910142655596,2224.910142655596,2224.910142655596,2239.2375362067355,3.5307946666662247,2321.5687390979683,1,1
E01S-1205,BN1,N2,69,2138.088096929967,2301.904962928519,163.81686599855212,2132.088096929967,2135.088096929967,2138.088096929967,2138.088096929967,2138.088096929967,2138.088096929967,4.047880615384656,2305.952843543904,0,1
E01S-1206,BN1,N5,70,2318.037944431302,2425.03598842217,106.99804399086752,2242.720647693915,2250.720647693915,2253.720647693915,2253.720647693915,2253.720647693915,2318.037944431302,6.644267271745321,2431.680255693915,0,1
E01S-1207,BN1,N5,71,2425.03598842217,2438.262913521376,13.22692509920635,2321.5687390979683,2329.5687390979683,2332.5687390979683,2332.5687390979683,2332.5687390979683,2425.03598842217,3.671943538461619,2441.9348570598377,1,7
E01S-1208,BN1,N5,72,2452.9348570598377,2669.108836760796,216.17397970095834,2441.9348570598377,2449.9348570598377,2452.9348570598377,2452.9348570598377,2452.9348570598377,2452.9348570598377,85.62700134920624,2754.735838110002,0,1
