零件名,套料图名,分段号,齐套优先级,零件类型,释放(min),到半框缓存(min),到齐套区(min)
N1-ST-2-1P,E01S-1240,BN1,8,small,1208.3499833723797,2065.988708005938,2748.561668409153
N1-ST-2-1S,E01S-1240,BN1,8,small,1208.3499833723797,2065.988708005938,2748.561668409153
N1-F31-1P-2P,E01S-1240,BN1,6,large,1208.3499833723797,1155.1911017093757,1155.1911017093757
N1-F31-2P-1P,E01S-1240,BN1,6,large,1208.3499833723797,1155.1911017093757,1155.1911017093757
N1-F31-6S-1S,E01S-1240,BN1,7,large,1208.3499833723797,1155.1911017093757,1155.1911017093757
N1-LG2-2P-1P,E01S-1206,BN1,1,large,1565.6507646695559,1768.7714442684319,1768.7714442684319
N1-LG2-4S-1S,E01S-1206,BN1,1,large,1565.6507646695559,1768.7714442684319,1768.7714442684319
N1-F33-1SP-1BSP,E01S-1229,BN1,6,small,1695.5444319427688,2217.4986313020495,2735.811668409153
N1-F33-1SP-2BSP,E01S-1229,BN1,6,small,1695.5444319427688,2217.4986313020495,2735.811668409153
N1-F33-1SP-3BSP,E01S-1229,BN1,6,small,1695.5444319427688,2217.4986313020495,2735.811668409153
N1-F33-1SP-4BSP,E01S-1229,BN1,6,small,1695.5444319427688,2217.4986313020495,2735.811668409153
N1-F33-1SP-5BSP,E01S-1229,BN1,6,small,1695.5444319427688,2217.4986313020495,2735.811668409153
N1-F33-1SP-6BSP,E01S-1229,BN1,6,small,1695.5444319427688,2217.4986313020495,2735.811668409153
N1-F36-1P-1BP,E01S-1229,BN1,6,small,1695.5444319427688,2217.4986313020495,2735.811668409153
N1-F36-1P-3BP,E01S-1229,BN1,6,small,1695.5444319427688,2217.4986313020495,2735.811668409153
N1-F36-1P-6BP,E01S-1229,BN1,6,small,1695.5444319427688,2217.4986313020495,2735.811668409153
N1-F36-2S-5BS,E01S-1229,BN1,7,small,1695.5444319427688,2332.291661259015,2742.186668409153
N1-F36-1P/C1P,E01S-1229,BN1,9,small,1695.5444319427688,2450.4419867509855,2754.936668409153
N1-F36-1P/C2P,E01S-1229,BN1,9,small,1695.5444319427688,2450.4419867509855,2754.936668409153
N1-CG-2KS-1S,E01S-1229,BN1,1,large,1695.5444319427688,1640.467298269997,1640.467298269997
N1-CG-1KP-1P,E01S-1229,BN1,2,large,1695.5444319427688,1640.467298269997,1640.467298269997
N1-LG3-1-1P,E01S-1204,BN1,1,large,1231.222250549327,1844.4241882684319,1844.4241882684319
N1-LG3-1-1S,E01S-1204,BN1,1,large,1231.222250549327,1844.4241882684319,1844.4241882684319
N1-F19-1SP-1BSP,E01S-1226,BN1,3,small,1369.8564743777652,2220.2486313020495,2716.686668409153
N1-F34-1-1P,E01S-1226,BN1,6,small,1369.8564743777652,2660.3418117424862,2735.811668409153
N1-F34-1-2P,E01S-1226,BN1,6,small,1369.8564743777652,2660.3418117424862,2735.811668409153
N1-F35-1-1P,E01S-1226,BN1,6,small,1369.8564743777652,2660.3418117424862,2735.811668409153
N1-F35-1-2P,E01S-1226,BN1,6,small,1369.8564743777652,2660.3418117424862,2735.811668409153
N1-F34-1-1S,E01S-1226,BN1,7,small,1369.8564743777652,2706.186668409153,2742.186668409153
N1-F34-1-2S,E01S-1226,BN1,7,small,1369.8564743777652,2706.186668409153,2742.186668409153
N1-F35-1-1S,E01S-1226,BN1,7,small,1369.8564743777652,2706.186668409153,2742.186668409153
N1-F35-1-2S,E01S-1226,BN1,7,small,1369.8564743777652,2706.186668409153,2742.186668409153
N1-F30-1SP-1BSP,E01S-1226,BN1,9,small,1369.8564743777652,2309.670116621891,2754.936668409153
N1-MG-3SP-1SP,E01S-1226,BN1,1,large,1369.8564743777652,1330.5091471555427,1330.5091471555427
N1-MG-4SP-1SP,E01S-1226,BN1,1,large,1369.8564743777652,1330.5091471555427,1330.5091471555427
N1-LG1-2-10BP,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
